Team,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14
Welker? I Hardly Know Her,82.6,110.4,106.4,110.0,79.8,70.8,99.4,104.0,123.9,110.8,93.6,148.3,110.7,82.1
WINTER IS NEVER COMING,92.6,106.6,80.2,63.6,118.5,107.5,69.3,95.3,58.7,117.6,65.4,127.0,107.3,82.0
I'm About To Go H.A.M,115.2,99.4,50.5,101.1,97.7,101.2,120.2,112.6,100.0,128.5,66.6,144.7,121.8,110.1
The Deceptico,132.2,99.3,105.7,139.5,80.4,115.5,141.4,164.8,138.9,82.5,230.2,124.2,175.9,163.8
4th and 20,57.5,104.5,99.9,91.8,108.5,100.9,70.9,74.8,64.8,114.5,88.3,107.6,86.6,135.2
Team Moyer,84.3,102.9,81.8,98.5,111.2,122.9,77.3,115.1,113.7,101.8,93.3,85.4,106.1,130.6
ELITE AS TUCK,90.0,102.9,100.3,114.2,86.1,82.1,89.7,129.5,97.4,105.8,102.7,61.4,90.1,126.6
Forte v3 Taco Fiesta part 2,111.5,75.4,92.9,123.9,83.7,101.0,117.1,136.2,115.6,81.0,105.7,83.8,220.6,143.5
Team Ra,111.0,69.5,100.0,97.0,121.0,99.8,105.5,124.3,99.1,123.0,76.8,106.3,108.4,71.1
>Team Wagers,92.5,64.6,97.3,127.5,115.0,85.9,96.7,34.5,90.8,86.3,94.2,89.6,77.9,83.9
