Team,Week1,Week2,Week3,Week4
Gotta Catch Jamaal!,106.9,110.7,106.1,90.9
WINTER IS NEVER COMING,114.8,85.7,100.4,74.6
Fae Cthae,134.7,122.3,107.1,98.2
DeandreSSSS Hopkin,120.1,114.8,155.5,77.5
The Life of Julio,110.7,96.5,73.4,129.5
Flacco's  Favorite,75.8,96.1,164.6,94.3
G - Lit,82.0,76.2,101.7,110.1
Last Manning Standin,122.4,97.3,126.3,88.1
>Fortune Favors The Bold,119.9,72.0,72.3,73.4
>Taniquetil Eagles,136.0,116.1,99.2,143.2
>Team  Suckerpunch,88.0,96.9,94.2,117.4
>Do You Even Lift?,88.0,80.7,69.6,84.7
